8571293581801774;11;77.0;2;[2, 5]
8571293603970829;15;79.0;4;[2, 8, 12, 13]
8571293610267573;12;77.0;2;[0, 14]
8571293630328963;1;79.0;4;[0, 1, 7, 12]
8571293641955614;14;78.0;3;[4, 7, 12]
8571293652076284;7;78.0;3;[6, 7, 9]
8571293655914981;10;79.0;4;[0, 2, 11, 12]
8571293657982106;8;78.0;3;[1, 2, 7]
8571293663479695;13;79.0;4;[0, 4, 10, 12]
8571293669865829;9;78.0;3;[1, 2, 6]
8571293672657668;3;78.0;3;[5, 6, 14]
8571293678668041;2;77.0;2;[6, 8]
8571293679455016;6;78.0;3;[2, 5, 12]
8571293690633664;26;79.0;4;[1, 4, 6, 8]
8571293692457567;4;78.0;3;[0, 1, 11]
8571293803445362;30;79.0;4;[1, 2, 10, 11]
8571293821547959;23;79.0;4;[4, 5, 6, 9]
8571293827657201;24;77.0;2;[0, 12]
8571293829815496;27;77.0;2;[0, 6]
8571293847813502;18;77.0;2;[2, 9]
8571293854046566;21;78.0;3;[2, 12, 13]
8571293860343800;29;78.0;3;[4, 6, 13]
8571293860515511;17;79.0;4;[4, 9, 11, 13]
8571293860855883;20;78.0;3;[2, 9, 14]
8571293862754667;16;79.0;4;[0, 5, 9, 13]
8571293874946612;22;78.0;3;[8, 9, 14]
8571293903255850;19;79.0;4;[0, 3, 6, 7]
8571293911301086;25;79.0;4;[2, 12, 13, 14]
8571293925758157;42;78.0;3;[2, 4, 7]
8571293934036284;28;79.0;4;[6, 7, 9, 12]
8571293998657766;39;78.0;3;[4, 10, 13]
8571294007462277;45;78.0;3;[2, 10, 12]
8571294062693023;33;79.0;4;[0, 2, 5, 12]
8571294066942953;32;79.0;4;[0, 5, 8, 14]
8571294077266645;37;79.0;4;[0, 3, 4, 14]
8571294080812180;44;78.0;3;[2, 8, 13]
8571294084700897;35;77.0;2;[9, 14]
8571294092925084;34;78.0;3;[2, 4, 5]
8571294108910396;57;77.0;2;[4, 12]
8571294136583479;31;78.0;3;[2, 9, 14]
8571294140790499;40;77.0;2;[6, 10]
8571294168805325;53;77.0;2;[10, 14]
8571294197524905;54;79.0;4;[0, 1, 6, 7]
8571294201194701;60;78.0;3;[6, 8, 11]
8571294205123859;43;79.0;4;[2, 7, 8, 14]
8571294220968489;71;79.0;4;[4, 7, 11, 13]
8571294228473722;51;79.0;4;[0, 2, 3, 4]
8571294230849388;48;78.0;3;[5, 8, 13]
8571294244581534;52;78.0;3;[5, 7, 10]
8571294279381227;72;79.0;4;[3, 7, 10, 13]
8571294287029021;50;78.0;3;[5, 6, 12]
8571294291861344;49;78.0;3;[0, 1, 2]
8571294300723606;59;79.0;4;[3, 4, 6, 14]
8571294358048957;69;79.0;4;[2, 10, 13, 14]
8571294382329676;55;78.0;3;[2, 5, 13]
8571294386535716;75;79.0;4;[4, 5, 6, 7]
8571294397628183;62;79.0;4;[1, 6, 8, 14]
8571294403830857;46;77.0;2;[2, 4]
8571294404993025;86;78.0;3;[1, 2, 4]
8571294412869940;63;78.0;3;[0, 6, 9]
