Prot 15 21.72 698.25
Origin 15 24.80 608.59
Prot 30 37.42 814.23
Origin 30 36.55 834.86
Prot 75 48.35 1604.53
Origin 75 39.77 1977.62
Prot 150 50.82 3124.13
Origin 150 41.68 3960.60
Prot 300 54.08 6184.40
Origin 300 43.02 8386.97
